date,brent_usd,fx_eurusd,ipc_tot,ipc_h_tabac,ipc_h_tabA,ipc_inf_sj,conso_elek_bt,conso_elek_mt,ipc_alim_01,ipc_elekt_0451,ipc_nrj_045,ipc_loyers_0411,ind_IBTG_01.0,i_esm_Commerce,i_esm_Construction,i_esm_HôtellerieRestauration,i_esm_Industrie,i_esm_Secteurmarchand,i_esm_Services,NBR_SAL,EFF_SAL_ETP,HEURES,MSALB,CH_PAT,CH_SAL,CST,Défense,Civils,Total
2012-06-30,109.533333333333,1.28256666666667,98.1,98.7,98.8,97.8,64940,56656,91.44632,112.20846,116.59813,106.52322,103.07199,111.83333,101.36667,112.86667,99.3,116.06667,135.53333,61794.4070171415,53070.1082630144,26906544.8904931,50638713918.07,12211199225.4535,4838117712.25853,1001358993.55347,1971,8289,10260
2012-09-30,109.333333333333,1.25146666666667,98.9,99.5,99.6,97.7,62249,55088,91.31577,112.20846,120.46629,105.52041,103.72287,112.53333,100.06667,111.7,99.13333,115.8,135.5,61723.767238168,52973.6947761758,26857663.2532272,50559433846.2641,12250031458.8974,4872038217.43233,1005075834.99917,1971,8289,10260
2012-12-31,110.133333333333,1.29736666666667,99.1,99.8,99.8,98.3,61728,60685,92.29361,112.20846,120.46662,105.05365,103.73655,112.33333,99.56667,110.4,97.56667,115.16667,135.7,61121.1956813424,52657.5777782258,26697391.9359124,50301742380.8257,12464650794.3525,4957796244.88107,986562070.039019,1971,8289,10260
2013-03-31,112.7,1.32036666666667,99.6,100.2,100.3,99,63247,58324,94.74746,112.20846,119.80409,104.93321,104.39334,111.43333,97.86667,111.23333,97.83333,115.13333,136.06667,61299.0355010646,52511.3136070901,26623235.9981923,50249294491.0788,12588791584.1405,4992371728.30812,989098461.447214,2049,8062,10111
2013-06-30,103.2,1.30656666666667,100,100.6,100.6,99.2,64147,58596,95.09839,112.20846,119.47282,104.13207,104.7051,111.33333,95.36667,112.06667,97.53333,114.73333,135.93333,60808.1687422474,52133.5552216595,26431712.4981996,50165791934.3838,12683377597.8952,5029534312.56263,1013403156.90068,2049,8062,10111
2013-09-30,109.8,1.3246,100.1,100.6,100.6,98.9,60444,51407,94.40979,112.20846,119.47311,104.22731,104.4977,110.73333,95.5,111.53333,97.4,114.26667,134.83333,60393.6502842216,51750.6233641044,26237566.0476743,49978183886.0155,12729695199.819,5046314169.28015,1022272190.69879,2049,8062,10111
2013-12-31,109.266666666667,1.36106666666667,100,100.5,100.5,99.2,60186,55589,94.33525,110.77786,118.69943,103.90795,104.64028,109.8,95.56667,110.93333,98.03333,114.06667,135.43333,60476.0707013335,52006.6835019527,26367388.5361413,49675141570.5043,12879736825.7894,5111797836.31281,1506145473.21043,2049,8062,10111
2014-03-31,108.066666666667,1.3697,100.2,100.7,100.7,99.5,61898,57170,95.86531,110.77786,118.70085,103.84306,105.7006,109.46667,93.86667,110.76667,98.26667,113.96667,135.8,60761.6898476298,52167.3902809885,26448866.8741514,49784014512.1028,13161348997.301,5242483230.45794,1466463148.63938,1922,8047,9969
2014-06-30,109.7,1.3712,100.2,100.6,100.7,99.5,63618,55256,95.49098,110.77786,118.69913,102.98624,105.41055,109.93333,91.6,111.96667,97.06667,114.16667,136.9,60594.6146818298,52008.3198036506,26368218.1409327,49901774847.3918,13365194313.0461,5329766429.43815,1503446249.02704,1922,8047,9969
2014-09-30,103.666666666667,1.3252,100.4,100.8,100.9,99.2,58328,51804,95.58916,110.77786,118.7002,102.34481,105.34268,110.4,89.96667,112.63333,96.26667,114,136.73333,60429.5383769382,51795.7337284194,26260437.0029139,50044115057.4842,13550897644.669,5409790528.07952,1515663410.76846,1922,8047,9969
2014-12-31,77.9,1.2492,100,100.4,100.4,98.8,61657,58113,95.91814,110.77786,118.69829,101.74159,106.04413,111.76667,88,114.33333,96.46667,114.66667,137.9,60759.8274528613,51674.485658051,26198964.2283815,49834791281.7561,13584156654.6325,5424245040.3252,1519407105.47395,1922,8047,9969
2015-03-31,55.2,1.12696666666667,100.1,100.4,100.4,99.8,64198,57269,98.51693,108.80325,114.45734,101.46153,106.0496,112.5,89.53333,115.93333,95.73333,115.36667,138.13333,60944.6397390808,52006.0163434025,26367050.2852098,50769243202.8189,13715710600.1669,5496322640.24521,1556005301.32957,2010,7953,9963
2015-06-30,61.7,1.10473333333333,99.8,100.1,100.1,99.9,64428,54381,98.51435,104.85401,110.75817,100.92115,106.53786,111.33333,92.36667,115.23333,96.66667,115.53333,138.26667,60926.6914441594,52248.2722165628,26489874.0146964,50784771881.8142,13877293193.0728,5562377628.67144,1560874649.97219,2010,7953,9963
2015-09-30,50.2666666666667,1.11186666666667,100,100.3,100.3,99.6,58137,52360,97.71604,104.85401,110.32667,100.52534,106.50277,111.2,92.96667,116.06667,97.16667,116.06667,139.43333,61074.5971725644,52457.1949125311,26595797.8185435,51109886707.4979,14062072787.125,5640261597.29387,1579261614.18225,2010,7953,9963
2015-12-31,43.5666666666667,1.09493333333333,99.5,99.8,99.8,99.6,61232,56043,97.58196,104.85401,108.03574,99.80823,106.49143,111.26667,91.7,117.43333,96.86667,115.93333,138.76667,60794.250326273,52285.6028713358,26508800.6554854,51282219741.3629,14092484103.903,5643720569.23125,1600699729.33917,2010,7953,9963
2016-03-31,33.7,1.10176666666667,99.4,99.6,99.7,100.3,65521,57853,100.20692,103.23601,102.98242,99.25744,106.51177,112.06667,90.8,118.43333,96.06667,116.46667,139.83333,60754.7139929765,52143.1357104869,26436569.8067926,51131956181.2954,14041467039.1799,5650187429.67552,1576610423.901,2037,8366,10403
2016-06-30,45.5,1.1293,99.2,98.5,98.5,100.1,66752,55238,100.68556,100,100.01292,98.89946,106.48898,113.13333,90.7,119.4,96.06667,117.13333,140.86667,61375.718622434,52656.5830958959,26696887.6316429,51417935046.7803,14262108789.3651,5731271263.0959,1586101229.01551,2037,8366,10403
2016-09-30,46.6,1.11643333333333,99.5,99.8,99.8,100,60362,52378,99.70019,100,100.00791,99.02358,106.66856,113.53333,93.63333,120.16667,97.2,118.23333,142,61977.6894774732,53115.7787944806,26929699.8489159,51930677946.3519,14440415526.5134,5811724904.09279,1620576577.712,2037,8366,10403
2016-12-31,51.1333333333333,1.07893333333333,99.3,99.6,99.6,100.3,63067,56658,99.82823,100,100.02544,99.46537,106.97157,115.8,98.4,121.26667,98.2,120.36667,144.03333,62465.6121661991,53614.8508365383,27182729.3751952,52597644939.888,14643140147.078,5890394816.18272,1665290802.80344,2037,8366,10403
2017-03-31,54.6666666666667,1.06473333333333,99.5,98.8,99.6,100.9,65395,57617,101.96763,100,99.99659,99.51244,107.23823,115.83333,95.93333,123.5,98.63333,120.43333,143.63333,62839.3098290986,53842.7386709916,27298268.5086634,52930378815.9333,14689463370.6039,5922446331.91028,1668379773.91006,2017,8332,10349
2017-06-30,50.9333333333333,1.10033333333333,99.7,98.7,99.9,101.1,66118,56192,102.66531,100,99.99621,99.63067,107.54868,116.5,96.53333,124.63333,99,121.36667,144.83333,63204.871268861,54067.9889424585,27412470.3929528,53024347482.1006,14772831446.3795,5953568398.25896,1660970001.85236,2017,8332,10349
2017-09-30,52.1666666666667,1.17443333333333,100.2,100,100.2,100.8,60185,50102,101.77936,100,100,99.72422,107.7794,117.16667,96.26667,126,100.63333,121.93333,145.1,63636.3901385237,54415.0724428519,27588441.7301154,53370451550.6219,14959380855.5188,6022947487.9466,1672768318.54075,2017,8332,10349
2017-12-31,61.5333333333333,1.17766666666667,99.8,99.7,99.8,100.4,60921,55503,100.67744,100,100,99.81493,108.08945,116.83333,98.13333,127.16667,101.83333,122.66667,145.66667,63498.7822609584,54667.2729608927,27716307.3911366,53630223239.9022,15041461579.8195,6075618241.14282,1677754544.9437,2017,8332,10349
2018-03-31,66.8,1.22946666666667,99.8,99.8,99.8,100.3,63018,55719,101.26232,100,100,100.58572,108.53765,118.33333,99.73333,127.23333,104.4,124.26667,147.46667,64311.0851290459,55266.6690122647,28020201.1886606,54488966954.1534,15243069057.8836,6147890033.16046,1716951115.90256,2017,8332,10349
2018-06-30,74.4333333333333,1.1922,98.9,98.8,98.8,99.7,64264,54343,98.7133,100,100,101.10407,108.57439,119.8,100.26667,128.16667,106.2,125.4,148.6,64600.4220405307,55565.8280262374,28171874.809811,54993379460.7372,15415780967.3425,6225251104.65653,1760347226.15783,2017,8332,10349
2018-09-30,75.2333333333333,1.16313333333333,99.1,99.1,99.1,99.7,60504,51446,98.29971,100,101.16498,102.55591,108.79701,120.86667,101.53333,129.53333,105.86667,126.76667,151.13333,65104.4892548949,55907.8752424317,28345292.7495018,55200622673.5402,15588722848.9238,6302878010.81216,1769432301.20592,2017,8332,10349
2018-12-31,67.4,1.14116666666667,98.9,98.8,98.8,99.5,62041,56596,97.68572,100,102.83293,104.62249,109.26084,121.5,103.56667,130.6,106.63333,127.7,151.96667,65410.8237285321,56493.6866311554,28642299.1214314,55792944625.6175,15773883605.0936,6365338820.04011,1830714580.587,2017,8332,10349
2019-03-31,63.1666666666667,1.13563333333333,98.6,98.6,98.6,98.7,66106,57290,98.92828,104.40604,106.56789,106.28974,109.65486,122.76667,104.4,130.13333,106.9,128.53333,153.4,65681.2005585729,56568.6013455654,28680280.8826048,56511716775.3403,15533078962.7613,6401793861.4923,1811558328.1027,2017,8332,10349
2019-06-30,68.9,1.12386666666667,99.3,99.3,99.2,98.9,68378,55988,99.79236,107.89987,108.44374,107.12635,109.54884,123.43333,108.53333,132.43333,106.96667,129.86667,153.56667,65971.3619463841,56998.9402052826,28898462.6849126,57332829888.4226,16044403072.7453,6490652321.01583,1990408362.18996,2017,8332,10349
2019-09-30,61.9,1.1116,100,99.9,99.9,99.3,62918,51586,101.24874,108.03701,109.68176,108.00124,109.62791,123.43333,109.9,133.16667,106.76667,130.1,153.7,66250.1583903347,57122.1824244166,28960946.4892083,55691745826.8021,16047612332.8648,6470346181.24192,1745474321.951,2017,8332,10349
