DATE,ID_PROD,DATA_TYPE,DTI,DTE,M_B,X_B,M_S,X_S,TVA,RS_S11,RS_S13,CS_S11,CS_S13,CCF_S13,VA_NM,VA_M,P,ATSLP,SSLP,VA,CI,FBCF_S14,FBCF_S11,FBCF_S13,FBCF,VS,CF,CF_S13,CI_S13,CI_S11,P_S11,CF_S14,PIB_E,PIB_R
2010-03-31,000,N,6825.19687241729,115.98619146996,38980.9590714884,3197.93395147967,12653.1535100685,18642.6978702402,10052.3024226707,33997.4106517653,29223.6479710137,8011.85784142106,5115.4060968861,7536.49276681211,41875.5468347119,85137.9068357462,218962.641358415,1211.70178522998,-96.4429958701863,127013.453670458,91949.1876879564,5877.35877026632,12827.7528547384,8489.95153191769,27195.0631569224,-512.903797209833,148233.5193465,45133.455194909,3257.90836019711,88691.2793277593,173829.186163506,103100.064151591,145122.197946376,145122.197946376
2010-06-30,000,N,6835.69062496464,164.542564967109,38330.4042463286,3320.21949486958,12423.1928850592,18519.1360969465,9797.03445727346,34249.0088170564,29358.5749662065,8055.97585490506,5006.82568239291,7439.54005564649,41804.9407042459,73379.1867115814,222755.476316976,1222.26298912971,-269.613316481919,115184.127415827,107571.348901149,5969.78260126237,13170.5584550084,8216.82024589196,27357.1613021627,-374.934456672341,134866.059429762,45060.4006312167,3255.45992697081,104315.888974178,177695.075685759,89805.6587985453,132934.044735681,132934.04473568
2010-09-30,000,N,7051.62894843116,141.537455960658,39690.2444898372,3869.0732525543,12932.3633903869,18949.1346778137,9888.08075403405,34457.0365738593,29854.3564999057,8093.12389961091,5029.29727690152,7312.56864441719,42196.2224212244,77515.8093446757,218855.449749704,1191.16607343294,-425.474185073464,119712.0317659,99143.4179838038,5930.65303204706,13291.9072579092,7783.68435698713,27006.2446469434,-245.265329731254,140602.391445329,45461.869517297,3265.64709607255,95877.7708877313,173393.580232407,95140.5219280321,137558.970812685,137558.970812686
2010-12-31,000,N,6765.48355418691,119.933787602273,38331.3921923456,3481.77330109644,13020.2902144855,19752.0313549996,9637.58236602171,34204.5439573191,31697.420562874,8017.042404063,5308.4709438195,7155.57853312422,44161.4700398177,70922.9171079975,219769.432574905,1189.86915220804,-535.469502573711,115084.387147815,104685.04542709,6012.20559642395,12833.7814323441,7190.54386520323,26036.5308939713,-123.896416386573,134467.029778411,47511.2746565773,3349.80461675957,101335.24081033,172258.157918328,86955.7551218337,132261.786505261,132261.78650526
2011-03-31,000,N,6477.42385611628,132.883784306373,38293.5695149605,3931.34476480582,12595.8092048585,20205.8958654344,9516.38301263147,33167.8774747539,31475.3122036255,7891.24133126865,5462.01380537274,6968.56972176756,43905.8957307658,61573.9785195519,217651.724688283,1175.83518113356,-585.483605176942,105479.874250318,112171.850437965,6006.37119572338,12377.5029031083,6437.39877054024,24821.2728693719,-10.8277166382982,124138.609416174,47118.207884758,3212.31215399216,108959.538283973,170533.516803525,77020.4015314161,122196.916479329,122196.916479329
2011-06-30,000,N,6465.23134146852,106.009117215191,38262.2567485509,4690.77851614888,12243.3689829693,20245.6683908606,9180.14953768364,34059.9828463029,29388.393389666,8145.00637269862,5168.10839300656,6839.23230851788,41395.7340911904,73407.051907761,212705.654614649,1148.19890101277,-608.237211162421,114802.785998951,97902.8686156973,6090.48571074711,11301.1341056436,5891.58122445894,23283.2010408497,26.1308499163311,133353.984618914,44279.25373732,2883.51964612959,95019.3489695677,168426.400877329,89074.730881594,131094.137685169,131094.137685169
2011-09-30,000,N,6581.45767108451,108.854210894385,38926.0691203234,3110.84694279114,11866.3114776981,21053.4430146151,9380.60711886802,33595.7218037313,29519.4064903141,8088.72586784244,5289.04063562716,6767.56629337516,41576.0134193164,79395.6784258045,215240.180658098,1160.06554768435,-666.362921608244,120971.691845121,94268.4888129772,6148.24948980557,10956.3631965288,5553.09122695936,22657.7039132937,-13.0207167226854,141519.720916088,44310.4054453407,2734.39202602426,91534.096786953,170929.775212757,97209.3154707473,137536.313472044,137536.313472044
2011-12-31,000,N,6854.8871313307,150.252887584052,38512.104616165,2652.02977625414,11406.5103344741,21079.99272909,9487.86033081683,33674.4178752118,29639.8879163944,8088.02642819032,5362.83716599353,6753.57167633941,41756.2967587274,82372.3511468831,215316.44003897,1155.90037016895,-743.916262052717,124128.647905611,91187.7921333599,6210.89360372365,10705.9997947198,5421.92877804147,22338.8221764849,-128.282416555348,145009.685048824,44346.1329325813,2589.83617385391,88597.955959506,170970.307106389,100663.552116243,141033.632363459,141033.632363458
2012-03-31,000,N,6467.20119104427,92.5290679673394,38406.8432445136,3114.00631495809,11591.201531932,21925.8994554276,9039.3749448999,33627.6763646384,29345.9293027326,8049.94927936998,5063.51048674768,6797.24845741063,41206.6882468909,70735.9922099833,207564.170342083,1106.60385717506,-803.508242913382,111942.680456874,95621.4898852087,6198.77672864974,10640.5132269379,5498.09387770529,22337.3838332929,-319.654249581655,130785.290697396,43639.467637791,2432.77939090009,93188.7104943086,163924.702704292,87145.823059605,127844.881275047,127844.881275048
2012-06-30,000,N,7172.00496880515,120.066694314384,40302.9199540834,3370.62566211616,11762.0274682873,22651.4711281212,9370.60822564534,34235.2082610232,29502.9396153743,8211.30335997421,5069.36032480018,6815.42778687487,41387.7277270494,75995.8702137599,216138.207026327,1141.60823271512,-906.857463112424,117383.597940809,98754.6090855177,6206.24985058664,11307.6790891813,5479.6223664887,22993.5513062566,-418.041282959516,137748.369208013,43768.6691914559,2380.94146440652,96373.6676211112,172369.537834871,93979.7000165571,134281.028599177,134281.028599177
